Gene	SRR4289769	SRR4289770	SRR4289771	SRR4289772	SRR4289773	SRR4289774	SRR4289775	SRR4289776	SRR4289777	SRR4289778	SRR4289779	SRR4289780
PA4591	661.29456	422.75378	769.4322	461.33017	511.62033	688.75854	267.5369	273.72552	463.09875	285.6525	247.61975	356.03226
PA4592	343.94043	192.2025	395.42654	207.51488	233.48625	268.23264	69.809525	55.835953	58.228077	76.8011	65.20791	75.30465
PA4593	164.01237	92.89066	175.15578	115.91374	107.16251	152.09727	39.454376	26.736994	38.37083	40.788105	32.37972	38.91219
PA4594	497.5915	370.29575	775.4717	331.8055	366.4272	511.3036	488.25873	488.02902	447.18958	400.05804	535.11096	494.7341
PA4595	1062.764	704.62445	1204.3315	747.6827	763.4559	1104.6912	862.56146	636.87024	763.46014	889.24255	741.1052	803.6642
PA4596	150.58513	108.99952	240.28326	129.4821	55.78685	89.53989	100.79831	81.284256	169.86523	75.72775	79.37146	69.51752
PA4597	89.12024	74.53665	113.53928	53.034588	65.60134	100.22612	123.25498	80.04238	103.846886	134.03403	97.32845	98.3437
PA4598	252.69473	192.62737	341.65936	179.68814	216.48276	299.82794	242.58778	203.51622	256.92297	290.36642	235.50102	263.59955
PA4599	54.875164	27.642593	55.401505	24.233337	37.902695	35.21543	68.840004	42.382133	106.76094	63.308895	45.45199	66.970695
PA4600	52.91709	43.213913	101.5498	41.023674	40.98439	65.29793	248.93219	229.22696	528.4468	188.70859	190.78116	234.1708
PA4601	1286.6307	929.4699	1439.7937	1038.9033	1102.0078	1595.6903	233.37856	186.09859	204.74043	278.94846	233.8774	257.27878
PA4602	546.65936	444.72498	611.1231	272.4874	346.23468	509.46606	201.26024	160.32928	174.10307	191.4397	210.21626	200.63986
PA4603	307.5828	229.57483	376.7131	212.74025	292.10318	302.9823	87.31605	62.880005	60.239258	86.7579	85.70291	80.41934
PA4604	775.8657	647.15826	1204.7428	633.85913	811.11176	869.548	302.27994	261.12482	269.72885	288.13705	382.1633	324.27676
PA4605	893.1596	684.35547	1149.8004	582.2978	754.384	999.9586	528.16504	487.8236	555.4651	399.55118	490.29724	471.63385
PA4606	4403.788	3392.386	6377.956	3645.6497	3755.8008	4666.7334	1513.2872	1328.2917	1517.0696	1415.561	1406.0449	1557.5934
PA4607	15923.468	11614.119	23310.59	11836.437	12201.095	15202.552	3402.0728	2307.6597	3819.5977	3580.5127	3116.606	2919.536
PA4608	2421.9663	1783.5786	3052.6814	1528.3832	2217.7375	2494.708	1786.0701	1387.751	1575.9769	1657.8458	1763.1604	1822.2792
PA4609	367.1501	248.1184	387.94934	322.2172	304.6675	370.2587	327.03415	223.3503	321.11798	425.63452	313.32922	341.72247
PA4610	267.46024	210.27911	331.67688	142.96948	121.72434	98.86755	38.47279	21.499996	32.89068	39.02432	30.491379	28.868288
PA4611	43459.383	34012.805	84814.98	26001.594	18602.154	23295.727	11073.013	9618.281	9586.554	5645.0024	8290.729	8649.69
PA4612	102.353424	88.654335	118.80856	76.324265	86.806145	114.897255	47.602837	37.403366	33.979076	52.289024	40.68949	48.406532
PA4613	253.79526	176.33115	361.72043	212.20572	209.30316	241.41083	235.43463	148.63623	242.61937	233.8055	206.23747	218.12582
PA4614	7523.5728	5373.046	10484.454	4278.2817	6828.9863	7252.5107	2143.6196	1939.0518	1958.6979	1668.0337	2440.6892	1653.5793
PA4615	1167.8704	828.5599	1656.1401	1268.691	1283.362	1643.2438	487.88443	381.93045	498.44858	488.33835	456.6998	468.26602
PA4616	75.728775	58.783077	96.208115	61.929466	74.801254	94.31788	80.871994	72.9691	108.96516	93.68231	83.64542	88.22286
PA4617	253.15433	164.87918	311.73276	170.19449	217.46149	221.60944	164.87788	126.44344	183.71819	231.2993	184.25894	162.60367
PA4618	506.59128	334.26147	477.92883	342.99304	432.80783	433.74942	289.58612	216.95586	169.6464	375.60352	299.97635	323.94012
PA4619	471.96518	365.3635	695.52515	324.0036	419.581	541.0254	265.79248	232.07721	204.8851	224.67471	271.3223	277.22702
PA4620	51.9472	43.596653	83.99242	38.520535	46.07623	59.741154	23.905163	19.052048	17.539225	39.380886	25.019884	23.612467
PA4621	299.5998	245.97412	414.3107	284.76532	323.21912	362.08322	184.96802	156.51111	207.23444	195.45995	154.48874	195.53575
PA4622	23.337606	14.398292	27.189137	14.863651	24.851862	25.684208	26.775713	16.54154	29.98728	27.275738	27.794779	21.42252
PA4623	72.58827	49.826847	68.513466	64.64257	54.462738	114.796684	53.53496	34.223415	44.774403	147.89864	67.141975	79.136795
PA4624	17712.047	13255.802	24725.383	16725.006	17220.857	19627.344	463.07898	385.0844	396.92755	442.39987	439.3122	434.79715
