Gene	SRR1813212	SRR1813213	SRR1813214	SRR1813215	SRR1813216	SRR1813217	SRR1813218	SRR1813219	SRR1813220
PA2497	225.98363	188.19826	197.3006	194.2345	161.89581	172.55989	213.46704	241.56725	223.71614
PA2498	138.80206	126.5605	109.44489	144.18979	119.98582	155.29448	102.92875	132.05948	131.38797
PA2499	71.73598	67.80831	62.109936	67.1961	42.741314	53.3366	51.637207	56.264893	47.252434
PA2500	2289.0872	1947.2794	2191.0884	1964.3898	1852.5804	1977.9075	3798.6091	3826.4143	4171.431
PA2501	4838.1177	4269.32	4364.0796	4688.731	4520.623	4708.153	7257.583	7818.55	8171.9756
PA2502	386.1438	347.82687	373.84845	456.9455	384.5078	392.8349	295.51907	324.4407	289.8424
PA2503	985.1383	850.019	887.08875	1290.2369	1223.6185	1170.8881	790.4128	826.21844	913.54626
PA2504	1492.9197	1143.3987	1481.245	2546.7322	2432.434	2069.633	1237.2529	1422.9434	1464.6656
PA2505	162.5237	135.49567	146.16864	215.4892	142.09348	168.04692	143.38199	151.0733	144.14041
PA2506	49.409702	40.21969	33.799248	36.22196	37.21919	44.21744	34.701557	35.828384	23.67545
PA2507	127.68367	123.75935	136.51	154.66873	161.26338	161.82237	125.88759	144.96997	135.43948
PA2508	27.467701	34.41142	30.271515	42.70053	38.833935	36.768486	29.512585	31.303219	30.614761
PA2509	67.49114	59.219524	63.679962	85.08976	56.895657	61.52396	57.610046	56.614403	57.18335
PA2510	187.14087	165.75975	149.30327	173.79333	161.41898	148.86247	153.30637	168.32611	181.40938
PA2511	656.77594	559.9769	627.2498	573.68286	487.83636	510.43643	468.84622	464.11444	476.1078
PA2512	123.532875	106.913734	123.11937	133.8519	130.5576	132.1253	88.76624	84.43054	77.69838
PA2513	41.84327	36.442726	37.55652	45.85736	29.878006	42.28264	43.113384	35.436817	28.376743
PA2514	42.41581	32.033077	41.382988	49.691498	46.57315	39.475216	29.763744	33.473305	33.182537
PA2515	41.71948	44.53602	37.950027	50.440372	58.34214	51.697796	31.27499	25.075647	38.048233
PA2516	51.616714	46.19528	47.276104	58.11332	55.934475	55.749107	57.953217	45.228695	46.24979
PA2517	20.3007	30.843658	30.233376	37.235416	27.109179	22.953688	21.309004	21.049417	15.079872
PA2518	259.32556	220.07962	235.6083	268.73758	246.10133	256.00784	208.72264	178.28888	176.98164
PA2519	492.02875	433.59067	420.85623	502.96936	370.4558	441.7109	378.7769	348.24237	311.61917
PA2520	446.57462	438.0806	407.697	434.07172	374.9192	374.203	387.4378	371.40723	413.60962
PA2521	74.978546	93.21428	80.74697	86.91774	97.254036	94.23079	58.53492	70.35704	54.324364
PA2522	37.083103	31.566025	36.87944	33.4449	32.279896	29.948574	33.39613	24.213072	30.013868
PA2523	388.5424	448.0342	413.03806	311.96738	349.5914	292.8735	267.74792	341.13635	314.54288
PA2524	453.32312	452.7668	458.71356	381.84616	412.32336	385.80978	310.11548	348.6317	339.94397
PA2525	609.276	550.9656	581.9874	588.5653	483.5495	537.09955	493.44797	514.0986	533.6804
PA2526	1011.159	971.61	966.41925	1111.337	1035.7917	974.1852	900.6467	840.60693	846.5185
PA2527	996.14075	955.67737	1005.0743	1079.8156	983.30634	982.2202	836.84485	852.0518	794.8856
PA2528	486.0075	369.3168	390.27823	443.95078	417.16144	380.61426	337.32013	332.03342	336.82895
PA2529	1034.192	901.9616	933.7204	1045.9178	909.6475	921.9584	757.19574	689.56067	712.44385
PA2530	882.4925	804.0314	709.65814	835.9861	742.1496	778.5413	632.0597	704.70105	676.09155
PA2531	221.1149	228.4842	163.9674	230.86917	194.58711	182.01427	159.44394	122.21101	155.43787
PA2532	2309.5552	1967.1338	1723.7671	1845.2151	1597.4705	1699.9753	1456.6539	1489.509	1574.5132
PA2533	1593.0542	1352.8047	1425.2721	1516.7549	1319.5349	1299.7296	1307.4547	1399.0656	1397.7958
PA2534	261.7236	250.15848	239.45074	229.11989	204.976	239.4637	222.64006	219.06248	227.6494
PA2535	238.84221	199.00879	222.40707	204.5835	207.71167	243.19243	168.51723	180.68886	190.73895
PA2536	370.1759	358.2441	341.1225	452.23175	425.6929	376.82803	393.76337	418.1256	375.37466
PA2537	254.57375	191.91142	191.9669	257.5569	220.39415	242.98079	211.16347	184.865	191.50133
PA2538	107.38913	89.785194	94.87649	128.48128	130.62672	114.86626	118.30569	112.52251	121.956085
PA2539	264.34683	256.3686	295.12408	342.09534	345.79385	311.03867	360.7738	384.59174	369.86783
PA2540	436.96677	411.84827	349.40823	516.7224	479.18967	517.72845	487.8152	469.91302	473.1116
PA2541	473.54507	332.39508	357.53912	561.46313	431.8787	495.18274	452.6417	427.08817	425.86536
PA2542	1340.6995	1302.1709	1419.7736	1401.0348	1267.1367	1255.6481	1208.8037	1209.2087	1155.1497
PA2543	868.0636	772.4102	858.09937	888.2304	761.73694	774.9671	738.8875	773.81384	747.02435
PA2544	3179.5261	2979.0938	3226.8547	3968.8184	3574.4084	3300.684	2577.0107	2435.4255	2455.7961
PA2545	1509.2466	1254.0287	1233.2462	1304.4281	1060.8302	1147.2195	970.77203	955.73944	916.0102
PA2546	189.73813	166.86058	174.63193	156.09029	161.0856	151.81062	158.47182	131.27869	140.27693
PA2547	169.63786	134.08313	135.55475	165.22261	160.7081	154.35445	135.1734	155.90625	149.17935
PA2548	146.56561	122.750694	114.502914	142.59702	154.06642	162.2294	123.716385	99.63419	124.02265
PA2549	798.5487	783.01953	737.1346	724.5958	783.3713	687.923	566.36664	615.8155	553.4464
PA2550	745.5046	711.70215	645.20135	491.5976	431.15204	426.69366	461.68924	504.85187	518.7467
PA2551	790.42456	630.18604	661.45715	662.7084	620.8821	616.32104	558.35144	594.3351	572.0605
PA2552	549.1737	514.2022	461.3763	606.7307	559.1338	563.9679	406.57898	467.16898	480.25763
PA2553	704.348	640.6753	621.8539	791.2712	761.9999	719.7161	501.39404	576.46	543.0022
PA2554	319.1799	231.62302	296.6505	339.32233	334.01724	342.66998	219.23363	249.74355	293.0037
PA2555	733.2778	719.28754	693.5247	850.43243	739.56287	751.7565	528.40137	575.353	503.89783
PA2556	706.2952	597.90485	735.1996	664.57666	599.40656	592.7066	597.9208	599.44824	594.9052
PA2557	452.7154	472.58133	469.2194	500.6969	432.834	381.56912	421.36243	454.1842	471.6058
PA2558	296.75696	256.658	278.37985	295.6945	265.97357	232.6448	243.63243	256.32767	251.06288
PA2559	1738.7343	1422.7079	1713.2736	2038.387	1905.3829	1716.6863	1475.622	1440.1108	1547.3907
PA2560	841.9817	662.6194	629.26245	638.9151	564.3234	586.88605	498.71097	437.90247	335.4022
PA2561	374.6559	364.89807	381.0998	572.5485	511.14105	489.82864	273.5771	272.1539	293.80084
PA2562	1017.6741	755.7804	863.96246	882.764	802.8361	784.30304	733.9098	735.00305	832.1936
PA2563	638.8557	577.19073	687.28534	1152.7059	1238.2499	946.0299	527.0131	629.09985	588.83325
PA2564	1669.8354	1461.1927	1674.7449	2786.8723	2795.235	2358.9656	1396.9926	1660.9154	1599.8937
PA2565	566.69904	483.64175	544.76434	843.1667	883.20135	692.4049	409.93515	511.5497	512.968
PA2566	3613.0537	3052.5354	3343.2615	10471.657	10227.447	9392.27	2564.6946	2966.637	2844.425
PA2567	831.5112	804.38544	758.34717	1006.91626	975.0161	1116.2158	1254.3837	1308.3428	1432.9882
PA2568	644.34283	537.93835	574.5872	604.70544	548.22864	487.3968	424.3505	434.91678	528.75165
PA2569	205.7057	193.0545	187.88405	247.51672	208.22629	242.191	161.6101	173.17053	157.83632
PA2570	386.83054	291.58267	289.12665	310.0496	296.2169	286.64545	338.61188	462.35028	447.0083
PA2571	2271.01	1777.5771	1956.3381	1129.5704	1000.0714	901.16547	1959.1547	2139.8994	2106.5483
PA2572	5933.2974	5461.3257	5586.675	5233.231	5050.0312	4872.8804	5186.0396	5427.756	5621.2124
PA2573	4166.4854	3289.5647	4081.994	3742.2961	3662.2646	3382.477	3916.5999	3935.0813	4154.563
PA2574	448.2048	409.99036	462.11224	369.81387	408.26788	364.32928	451.4141	451.25836	430.0189
PA2575	14655.222	13272.676	11694.901	13837.54	11273.256	12100.975	13481.755	14134.732	14238.34
PA2576	436.206	421.69943	371.25238	380.69278	406.34274	413.63702	417.97644	408.66318	433.1432
PA2577	421.49503	368.01013	315.1283	465.8546	415.44666	478.35233	300.41635	336.38873	308.7673
PA2578	290.72845	276.9906	243.61754	304.8209	273.2327	264.11496	246.07074	221.90294	249.38069
PA2579	720.0467	627.0183	576.2807	703.91583	690.64856	677.96844	653.2162	676.85583	666.8946
PA2580	55.24632	60.84784	79.89861	82.52493	64.13901	59.556957	49.60693	57.389885	45.068954
PA2581	517.48627	408.80096	463.9196	545.5702	479.5506	484.60767	435.5229	437.9542	460.587
PA2582	3335.8699	2479.1973	2871.7185	2603.4048	2252.097	2355.9456	2663.5688	2589.642	2463.375
PA2583	1174.3143	1185.6848	1132.7496	1335.3181	1323.889	1317.1752	1126.8124	1128.5195	1096.217
PA2584	971.9919	896.1635	934.3666	786.8844	674.5827	727.809	721.4017	655.1407	682.91833
PA2585	2168.9824	1961.457	1975.9325	1810.7252	1641.8701	1717.0958	1525.927	1446.3749	1564.745
PA2586	3367.4824	3044.7031	3130.3706	3438.023	3216.147	3204.7812	2918.3616	2662.11	2601.3923
PA2587	3704.797	3242.5847	3390.9849	3015.9797	2532.1377	2498.2231	2711.2808	2684.107	2747.494
PA2588	2695.2917	2376.1394	2417.3384	2257.6428	2167.7544	2142.8816	1988.7505	2047.4148	2079.515
PA2589	462.83032	374.27853	424.26614	426.65707	400.48895	371.12598	360.97067	345.26135	338.50674
PA2590	541.91864	549.4242	503.38293	755.278	661.62933	704.23926	476.99887	483.90222	520.2854
PA2591	4137.79	3347.6216	3495.5657	3978.4023	3718.2573	3612.459	3037.2236	3142.7542	3124.1218
PA2592	3785.7117	3158.1003	2986.4878	3968.4675	3441.7588	3446.577	2366.7214	2333.9243	2295.259
PA2593	621.18854	567.73474	575.9082	728.7961	690.9661	693.0297	478.17374	505.04108	514.59906
PA2594	541.09924	556.84515	584.1908	596.27185	572.30347	528.1009	746.20825	724.73364	690.2705
PA2595	229.40147	170.51169	198.72214	201.36343	198.06831	227.6717	153.19942	176.40356	205.16833
PA2596	159.85057	113.386246	122.45636	147.42934	107.94786	119.073845	114.78852	134.79015	139.2618
PA2597	359.66492	324.2024	337.01584	448.68835	390.9415	360.777	411.41367	347.81323	397.72534
PA2598	225.1995	242.70355	235.07896	184.23624	155.60318	162.53368	293.9739	300.74243	280.8404
PA2599	275.67188	260.85846	248.62492	268.99063	250.46469	239.45322	388.82788	341.4304	399.8317
PA2600	306.1079	265.9175	256.87946	264.84262	263.88974	265.53503	510.3771	522.6569	506.2883
PA2601	360.11533	302.29913	354.58258	321.00848	307.63327	290.70465	303.19925	328.06216	341.8756
PA2602	322.25494	259.48315	297.81967	276.38025	262.81894	272.68	370.2434	313.59882	357.909
PA2603	425.91794	393.44336	391.66376	409.1211	352.2255	356.5089	442.10147	448.05692	452.10236
PA2604	15832.022	14876.616	13259.933	13704.396	11770.075	12387.618	11227.755	12467.396	12154.691
PA2605	1212.9951	1058.0154	1039.3793	1363.4609	1146.1694	1194.2823	1016.7594	1116.3912	1020.5359
PA2606	594.93317	595.2514	547.74664	768.71045	695.09357	723.55817	526.4722	570.26843	525.79224
PA2607	629.21747	585.1965	496.05368	650.9891	576.39453	651.20233	494.74506	490.6498	435.03635
PA2608	467.8805	424.4266	390.28873	478.94962	469.88275	488.8081	403.95575	388.84448	431.5288
PA2609	1982.256	1803.5057	1737.1599	2040.2489	1713.0785	1840.6366	1602.7048	1441.7131	1589.7742
PA2610	4799.1646	4067.4883	4077.1658	5238.746	4656.2188	4898.695	3728.4133	3937.9834	4050.173
PA2611	3036.0164	2744.8945	2958.65	3113.6533	3074.2585	2921.862	2879.8462	2900.217	3029.5862
PA2612	2872.3057	2638.2021	2431.8982	2850.918	2553.7153	2658.7473	2262.5374	2391.2065	2343.197
PA2613	2344.3528	2043.7106	2092.8413	2308.1646	2089.4722	2060.3018	2035.9006	1907.6013	1976.1102
PA2614	1480.3806	1529.9043	1445.8373	1523.544	1469.0372	1394.444	1376.7524	1427.6345	1402.5599
PA2615	5467.6074	4731.621	4879.458	5250.466	4802.1143	4823.4277	4708.185	4567.908	4697.2056
PA2616	1918.1951	1646.225	1616.9093	1926.9436	1761.0338	1832.4498	1581.9678	1544.2252	1519.2462
PA2617	572.2473	476.38852	475.5675	587.8889	545.5982	556.0434	413.8812	453.20523	420.93085
PA2618	2807.3506	2693.9258	2634.033	2958.323	3032.225	2978.3628	2281.3904	2321.6157	2246.9944
PA2619	2406.9585	2167.8413	1976.262	1750.7279	1404.27	1576.7538	1824.3105	1485.8827	1387.9731
PA2620	26025.72	22858.924	24143.055	19869.385	18805.246	18728.633	24441.71	26108.504	27296.918
PA2621	5758.7515	4271.331	4213.971	3385.7468	3488.5369	3414.7925	4041.2444	4628.828	4376.9985
PA2622	11208.939	8381.783	9459.813	15968.853	14520.514	14012.909	11632.954	12075.161	12560.812
PA2623	40499.06	36099.684	35827.062	34265.38	31057.54	31366.787	37177.71	37723.832	39424.152
PA2624	4637.018	3817.7776	3807.733	3644.0933	3154.2368	3421.0142	3379.0376	3356.7512	3454.027
PA2625	377.12714	322.763	365.82718	323.9853	300.7713	293.44302	307.35666	280.6557	317.6456
PA2626	2251.015	1900.5503	1956.9115	2013.8323	1580.5979	1741.5591	1947.9181	1746.2618	1650.3286
PA2627	787.5464	702.1868	797.299	795.512	630.5525	702.70197	718.04333	715.96045	739.0273
PA2628	716.0423	629.04877	661.5227	734.9238	605.5027	613.8342	650.32446	595.5804	603.7442
PA2629	2190.7183	1824.8087	2082.844	1965.7772	1837.8167	1743.6609	2162.526	2082.83	2123.318
